[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (degrees),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 2 Resistivity (Ohm-m),Bridge 2 Excitation (uA),Bridge 3 Resistivity (Ohm-m),Bridge 3 Excitation (uA),Bridge 4 Resistivity (Ohm-m),Bridge 4 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 2 Std. Dev. (Ohm-m),Bridge 3 Std. Dev. (Ohm-m),Bridge 4 Std. Dev. (Ohm-m),Number of Readings,Bridge 1 Resistance (Ohms),Bridge 2 Resistance (Ohms),Bridge 3 Resistance (Ohms),Bridge 4 Resistance (Ohms)
,24068864.085,,1.99999757766724,-47475.7715625,0,-3.59314745292068e-006,999.890258789063,1.02279408276081e-005,999.890258789063,9.66699197888375e-005,999.890258789063,,,3.51508350722933e-008,6.33778079802055e-008,7.40772676612848e-007,,25,-0.00359314745292068,0.0102279408276081,0.0966699197888374,
,24068882.525,,1.9999666261673,-46003.995625,0,-3.66561409085989e-006,999.890258789063,1.02271880581975e-005,999.890258789063,9.67210459709168e-005,999.890258789063,,,3.5080500365656e-008,4.0638213877612e-008,6.91264387532507e-007,,25,-0.00366561409085989,0.0102271880581975,0.0967210459709167,
,24068900.995,,1.99993506908417,-44530.44484375,0,-3.62683601677418e-006,999.890258789063,1.02556848526001e-005,999.890258789063,9.66255909204483e-005,999.890258789063,,,5.16253515125753e-008,4.81583679023481e-008,7.73313729167473e-007,,25,-0.00362683601677418,0.0102556848526001,0.0966255909204483,
,24068919.684,,2.00002316474915,-43014.698125,0,-3.5378044936806e-006,999.890258789063,1.02792385593057e-005,999.890258789063,9.65887227654457e-005,999.890258789063,,,4.22267885478899e-008,4.5725123059721e-008,5.78562743998286e-007,,25,-0.0035378044936806,0.0102792385593057,0.0965887227654457,
,24068938.919,,1.99998198986053,-41520.7015625,0,-3.57508350163698e-006,999.890258789063,1.03041284531355e-005,999.890258789063,9.70033085346222e-005,999.890258789063,,,4.76632737202678e-008,4.46825508723593e-008,6.53990103345102e-007,,25,-0.00357508350163698,0.0103041284531355,0.0970033085346222,
,24068957.202,,1.99996486663818,-40038.57234375,0,-3.57111663557589e-006,999.890258789063,1.03164233267307e-005,999.890258789063,9.66530185937881e-005,999.890258789063,,,4.93696824488641e-008,3.74623940397405e-008,6.21034541366472e-007,,25,-0.00357111663557589,0.0103164233267307,0.0966530185937882,
,24068976.234,,1.99999024391174,-38497.63375,0,-3.47449589520693e-006,999.890258789063,1.03573852777481e-005,999.890258789063,9.65925258398056e-005,999.890258789063,,,4.54593277387068e-008,5.15998037129936e-008,6.10689082583737e-007,,25,-0.00347449589520693,0.0103573852777481,0.0965925258398056,
,24068995.766,,1.99991872787476,-36970.72890625,0,-3.46188963390887e-006,999.890258789063,1.03703115880489e-005,999.890258789063,9.62860292196274e-005,999.890258789063,,,4.64283490022649e-008,4.28925948773559e-008,7.26798277492331e-007,,25,-0.00346188963390887,0.0103703115880489,0.0962860292196274,
,24069014.33,,2.00001461029053,-35498.80671875,0,-3.37334040552378e-006,999.890258789063,1.03875412046909e-005,999.890258789063,9.626798838377e-005,999.890258789063,,,4.69296312405547e-008,4.39263870416393e-008,6.98691570580862e-007,,25,-0.00337334040552378,0.0103875412046909,0.09626798838377,
,24069033.05,,2.00000802993774,-33982.73515625,0,-3.37221790105104e-006,999.890258789063,1.03838791325688e-005,999.890258789063,9.62815442681313e-005,999.890258789063,,,4.38323340298689e-008,3.97534247548216e-008,6.54309460485127e-007,,25,-0.00337221790105104,0.0103838791325688,0.0962815442681313,
,24069052.238,,1.99991485595703,-32475.22328125,0,-3.37062988430262e-006,999.890258789063,1.04201318696141e-005,999.890258789063,9.65837162733078e-005,999.890258789063,,,3.62187278380992e-008,4.91764506624405e-008,4.98104935835331e-007,,25,-0.00337062988430262,0.0104201318696141,0.0965837162733078,
,24069070.755,,1.99993542671204,-30997.12609375,0,-3.37789435870946e-006,999.890258789063,1.04294754192233e-005,999.890258789063,9.65633210539818e-005,999.890258789063,,,3.34302903525135e-008,3.23793553007044e-008,5.04744236335127e-007,,25,-0.00337789435870945,0.0104294754192233,0.0965633210539818,
,24069090.412,,1.99997754573822,-29425.113203125,0,-3.31973725929856e-006,999.890258789063,1.04478233680129e-005,999.890258789063,9.6318579018116e-005,999.890258789063,,,3.19892808069511e-008,4.60859737456743e-008,7.057640736923e-007,,25,-0.00331973725929856,0.0104478233680129,0.096318579018116,
